"Archived - Life expectancy, at birth and at age 65, by sex, three-year average, Canada, provinces, territories, health regions and peer groups, inactive 1 2 3 4 5 6 7 8"
"Frequency: Occasional"
"Table: 13-10-0063-01 (formerly CANSIM 102-4308)"
"Release date: 2018-08-22"
"Geography: Canada, Province or territory, Health region, Local health integration network, Public health unit"
""
""

"Age group","At birth",,,,
"Sex","Females",,,,
"Characteristics 9 10 11 12","Life expectancy",,,,
"Geography 7 13 14","2010 to 2012","2011 to 2013","2012 to 2014","2013 to 2015","2014 to 2016"
,"Years",,,,
"Eastern Regional Health Authority, Newfoundland and Labrador","82.0","81.8","81.8","81.6","82.0"
"Central Regional Health Authority, Newfoundland and Labrador","82.1","81.4","81.2","81.0","81.5"
"Western Regional Health Authority, Newfoundland and Labrador","81.7","81.6","81.6","81.1","80.9"
"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador","82.8","82.6","82.2","80.9","80.6"
"Prince Edward Island 7","83.1","83.1","83.2","83.6","83.8"
"Zone 1 - Western, Nova Scotia","83.1","83.1","83.4","83.4","83.2"
"Zone 2 - Northern, Nova Scotia","82.0","81.9","81.9","81.9","81.9"
"Zone 3 - Eastern, Nova Scotia","81.7","81.9","82.1","81.6","81.6"
"Zone 4 - Central, Nova Scotia","82.9","82.9","83.1","82.9","83.3"
"Zone 1 (Moncton area), New Brunswick","83.9","83.8","83.9","84.0","83.8"
"Zone 2 (Saint John area), New Brunswick","82.9","82.9","82.8","82.7","82.1"
"Zone 3 (Fredericton area), New Brunswick","82.3","82.3","82.3","82.2","82.4"
"Zone 4 (Edmundston area), New Brunswick","83.2","82.8","82.4","81.5","81.9"
"Zone 5 (Campbellton area), New Brunswick","81.7","81.9","81.5","81.5","82.3"
"Zone 6 (Bathurst area), New Brunswick","84.6","84.6","84.4","83.8","83.7"
"Zone 7 (Miramichi area), New Brunswick","83.7","84.1","83.8","83.2","83.1"
"Région du Bas-Saint-Laurent, Quebec","83.9","84.2","84.3","84.0","84.1"
"Région du Saguenay - Lac-Saint-Jean, Quebec","83.2","83.1","83.1","83.2","83.9"
"Région de la Capitale-Nationale, Quebec","84.5","84.7","84.8","85.0","85.2"
