HealthUnit,BirthYear,Gender,LifeExpectancy
Erie St. Clair Health Integration Network in Ontario,2018,Female,83.4
South West Health Integration Network in Ontario,2018,Female,83.6
Waterloo Wellington Health Integration Network in Ontario,2018,Female,83.9
Hamilton Niagara Haldimand Brant Health Integration Network in Ontario,2018,Female,83.4
Central West Health Integration Network in Ontario,2018,Female,86.9
Mississauga Halton Health Integration Network in Ontario,2018,Female,86.3
Toronto Central Health Integration Network in Ontario,2018,Female,87.2
Central Health Integration Network in Ontario,2018,Female,86.9
Central East Health Integration Network in Ontario,2018,Female,85.2
South East Health Integration Network in Ontario,2018,Female,82.9
Champlain Health Integration Network in Ontario,2018,Female,84.6
North Simcoe Muskoka Health Integration Network in Ontario,2018,Female,83.2
North East Health Integration Network in Ontario,2018,Female,82.2
North West Health Integration Network in Ontario,2018,Female,80.2
District of Algoma Health Unit in Ontario,2018,Female,81.9
Brant County Health Unit in Ontario,2018,Female,82.2
Durham Regional Health Unit in Ontario,2018,Female,84.6
Elgin-St. Thomas Health Unit in Ontario,2018,Female,82.0
Grey Bruce Health Unit in Ontario,2018,Female,83.7
Haldimand-Norfolk Health Unit in Ontario,2018,Female,82.8
Haliburton and Kawartha and Pine Ridge District Health Unit in Ontario,2018,Female,83.5
Halton Regional Health Unit in Ontario,2018,Female,85.9
City of Hamilton Health Unit in Ontario,2018,Female,83.7
Hastings and Prince Edward Counties Health Unit in Ontario,2018,Female,82.7
Huron County Health Unit in Ontario,2018,Female,82.5
Chatham-Kent Health Unit in Ontario,2018,Female,82.6
Kingston and Frontenac and Lennox and Addington Health Unit in Ontario,2018,Female,83.3
Lambton Health Unit in Ontario,2018,Female,83.3
Leeds and Grenville and Lanark District Health Unit in Ontario,2018,Female,83.0
Middlesex-London Health Unit in Ontario,2018,Female,84.2
Niagara Regional Area Health Unit in Ontario,2018,Female,83.6
North Bay Parry Sound District Health Unit in Ontario,2018,Female,82.8
Northwestern Health Unit in Ontario,2018,Female,78.9
City of Ottawa Health Unit in Ontario,2018,Female,85.2
Oxford County Health Unit in Ontario,2018,Female,83.2
Peel Regional Health Unit in Ontario,2018,Female,86.4
Perth District Health Unit in Ontario,2018,Female,83.3
Peterborough County-City Health Unit in Ontario,2018,Female,83.6
Porcupine Health Unit in Ontario,2018,Female,80.6
Renfrew County and District Health Unit in Ontario,2018,Female,83.2
Eastern Ontario Health Unit in Ontario,2018,Female,83.1
Simcoe Muskoka District Health Unit in Ontario,2018,Female,83.5
Sudbury and District Health Unit in Ontario,2018,Female,82.5
Thunder Bay District Health Unit in Ontario,2018,Female,80.9
Timiskaming Health Unit in Ontario,2018,Female,81.8
Waterloo Health Unit in Ontario,2018,Female,83.7
Wellington-Dufferin-Guelph Health Unit in Ontario,2018,Female,83.6
Windsor-Essex County Health Unit in Ontario,2018,Female,83.6
York Regional Health Unit in Ontario,2018,Female,86.9
City of Toronto Health Unit in Ontario,2018,Female,87.0
