Year,Name,Frequency,Gender
1917,AARON,7,Male
1917,ABE,5,Male
1917,ABIE,5,Male
1917,ABRAHAM,25,Male
1917,ABRAM,7,Male
1917,ADAM,19,Male
1917,ADELARD,6,Male
1917,ADRIAN,7,Male
1917,ALAN,34,Male
1917,ALBERT,502,Male
1917,ALBIN,5,Male
1917,ALCIDE,5,Male
1917,ALEX,33,Male
1917,ALEXANDER,187,Male
1917,ALFRED,276,Male
1917,ALFREDO,5,Male
1917,ALLAN,132,Male
1917,ALLEN,51,Male
1917,ALMER,7,Male
1917,ALPHONSE,13,Male
1917,ALTON,8,Male
1917,ALVIN,68,Male
1917,AMBROSE,16,Male
1917,AMOS,10,Male
1917,ANDRE,6,Male
1917,ANDREW,112,Male
1917,ANGELO,18,Male
1917,ANGUS,37,Male
1917,ANTHONY,35,Male
1917,ANTOINE,6,Male
1917,ANTONIO,21,Male
1917,ANTONY,5,Male
1917,ARCHIBALD,38,Male
1917,ARCHIE,39,Male
1917,ARMAND,18,Male
1917,ARNOLD,76,Male
1917,ARTHUR,476,Male
1917,ARVO,7,Male
1917,AUBREY,20,Male
1917,AUDREY,5,Male
1917,AUGUSTINE,5,Male
1917,AURELE,5,Male
1917,AUSTIN,30,Male
1917,BASIL,35,Male
1917,BAZIL,5,Male
1917,BEN,5,Male
1917,BENEDICT,5,Male
1917,BENJAMIN,51,Male
1917,BENNY,5,Male
1917,BERNARD,91,Male
1917,BERT,21,Male
1917,BERTIE,8,Male
1917,BERTRAM,21,Male
1917,BEVERLEY,6,Male
1917,BEVERLY,8,Male
1917,BILLIE,9,Male
1917,BOBBIE,5,Male
1917,BORDEN,6,Male
1917,BRUCE,103,Male
1917,BRUNO,6,Male
1917,BURTON,15,Male
1917,CALVIN,14,Male
1917,CAMERON,19,Male
1917,CARL,92,Male
1917,CARLTON,7,Male
1917,CARMAN,17,Male
1917,CARMEN,6,Male
1917,CECIL,159,Male
1917,CHARLES,790,Male
1917,CHARLEY,6,Male
1917,CHARLIE,15,Male
1917,CHESTER,29,Male
1917,CHRISTOPHER,18,Male
1917,CLARANCE,15,Male
1917,CLARE,11,Male
1917,CLARENCE,216,Male
1917,CLAUD,5,Male
1917,CLAUDE,29,Male
1917,CLAYTON,43,Male
1917,CLEMENT,14,Male
1917,CLIFFORD,171,Male
1917,CLIFTON,9,Male
1917,CLINTON,16,Male
1917,CLYDE,13,Male
1917,COLIN,14,Male
1917,CONRAD,7,Male
1917,CORNELIUS,8,Male
1917,CURTIS,5,Male
1917,CYRIL,53,Male
1917,DALTON,10,Male
1917,DANIEL,91,Male
1917,DAVID,317,Male
1917,DEAN,5,Male
1917,DELBERT,24,Male
1917,DENIS,13,Male
1917,DENNIS,14,Male
1917,DESMOND,6,Male
1917,DOMENICO,6,Male
1917,DOMINIC,9,Male
1917,DOMINICK,8,Male
1917,DON,5,Male
1917,DONALD,497,Male
1917,DOUGLAS,279,Male
1917,DUDLEY,6,Male
1917,DUNCAN,38,Male
1917,DWIGHT,5,Male
1917,EARL,211,Male
1917,EARLE,15,Male
1917,EARNEST,23,Male
1917,EDDIE,7,Male
1917,EDGAR,68,Male
1917,EDMOND,25,Male
1917,EDMUND,29,Male
1917,EDWARD,428,Male
1917,EDWIN,107,Male
1917,ELDON,23,Male
1917,ELGIN,21,Male
1917,ELIAS,6,Male
1917,ELLIOTT,8,Male
1917,ELMER,103,Male
1917,ELTON,6,Male
1917,ELWOOD,13,Male
1917,EMANUEL,7,Male
1917,EMERSON,22,Male
1917,EMIL,10,Male
1917,EMILE,16,Male
1917,ERIC,59,Male
1917,ERLE,5,Male
1917,ERNEST,284,Male
1917,ERVIN,6,Male
1917,ERWIN,5,Male
1917,EUGENE,43,Male
1917,EVERETT,26,Male
1917,EWART,6,Male
1917,FELIX,11,Male
1917,FERDINAND,6,Male
1917,FERGUS,6,Male
1917,FERNAND,8,Male
1917,FLOYD,33,Male
1917,FRANCES,22,Male
1917,FRANCESCO,13,Male
1917,FRANCIS,352,Male
1917,FRANCOIS,7,Male
1917,FRANK,306,Male
1917,FRANKLIN,37,Male
1917,FRED,55,Male
1917,FREDERIC,21,Male
1917,FREDERICK,450,Male
1917,FREDRICK,42,Male
1917,GABRIEL,6,Male
1917,GARFIELD,11,Male
1917,GARNET,42,Male
